DVD,HHS,total,totalA,totalB
201140,9,238,0,0
201140,10,149,0,0
201141,1,16,0,0
201141,2,310,0,0
201141,3,357,0,0
201141,4,437,0,6
201141,5,223,0,0
201141,6,446,2,0
201141,7,204,0,0
201141,8,394,0,0
201141,9,205,0,0
201141,10,153,0,0
201142,1,10,0,0
201142,2,317,0,0
201142,3,344,0,0
201142,4,509,7,4
201142,5,242,0,0
201142,6,479,0,1
201142,7,193,0,0
201142,8,365,0,0
201142,9,197,0,0
201142,10,151,0,0
201143,1,20,0,0
201143,2,322,1,0
201143,3,306,0,0
201143,4,708,13,8
201143,5,266,0,0
201143,6,517,1,1
201143,7,210,0,0
201143,8,378,0,0
201143,9,236,1,0
201143,10,150,2,0
201144,1,98,0,0
201144,2,319,0,0
201144,3,343,1,0
201144,4,668,7,5
201144,5,262,0,0
201144,6,586,2,2
201144,7,224,0,0
201144,8,398,1,0
201144,9,290,1,0
201144,10,155,0,0
201145,1,157,0,0
201145,2,363,1,0
201145,3,389,0,0
201145,4,780,13,11
201145,5,287,1,0
201145,6,433,2,0
201145,7,224,0,0
201145,8,473,2,0
201145,9,349,1,0
201145,10,174,0,0
201146,1,123,0,0
201146,2,384,1,1
201146,3,365,0,0
201146,4,797,7,7
201146,5,333,1,0
201146,6,569,0,0
201146,7,232,0,0
201146,8,475,4,0
201146,9,356,0,1
201146,10,187,1,0
201147,1,142,0,0
201147,2,368,0,0
201147,3,323,1,0
201147,4,795,21,14
201147,5,277,3,0
201147,6,589,4,2
201147,7,181,0,0
201147,8,438,4,0
201147,9,343,1,0
201147,10,161,1,0
201148,1,136,0,0
201148,2,406,0,0
201148,3,362,0,0
201148,4,875,14,13
201148,5,354,1,0
201148,6,609,2,0
201148,7,223,0,0
201148,8,530,7,2
201148,9,312,2,0
201148,10,173,0,0
201149,1,158,0,0
201149,2,232,0,0
201149,3,410,0,0
201149,4,821,15,13
201149,5,369,9,0
201149,6,713,15,3
201149,7,214,3,0
201149,8,511,8,1
201149,9,364,5,0
201149,10,182,0,1
201150,1,163,0,0
201150,2,223,0,0
201150,3,467,1,0
201150,4,905,17,9
201150,5,373,8,0
201150,6,751,2,1
201150,7,280,3,0
201150,8,506,11,0
201150,9,357,1,1
201150,10,199,0,1
201151,1,165,0,0
201151,2,263,0,0
201151,3,420,0,0
201151,4,957,16,11
201151,5,386,19,1
201151,6,842,11,2
201151,7,258,11,0
201151,8,537,22,2
201151,9,406,4,1
201151,10,214,2,0
201152,1,172,0,0
201152,2,268,0,0
201152,3,465,0,0
201152,4,975,22,3
