"RepWeekDate","RepWeekCode","Season","RSVtest","RSVpos","HHS"
"11/7/2015",1544,1516,796,24,2
"11/7/2015",1544,1516,784,12,3
"11/7/2015",1544,1516,1144,105,4
"11/7/2015",1544,1516,2274,46,5
"11/7/2015",1544,1516,1279,73,6
"11/7/2015",1544,1516,526,5,7
"11/7/2015",1544,1516,800,4,8
"11/7/2015",1544,1516,1385,13,9
"11/7/2015",1544,1516,462,5,10
"11/14/2015",1545,1516,275,1,1
"11/14/2015",1545,1516,829,25,2
"11/14/2015",1545,1516,772,20,3
"11/14/2015",1545,1516,1135,158,4
"11/14/2015",1545,1516,2277,70,5
"11/14/2015",1545,1516,1477,70,6
"11/14/2015",1545,1516,517,5,7
"11/14/2015",1545,1516,900,12,8
"11/14/2015",1545,1516,1564,9,9
"11/14/2015",1545,1516,437,6,10
"11/21/2015",1546,1516,306,4,1
"11/21/2015",1546,1516,840,39,2
"11/21/2015",1546,1516,827,17,3
"11/21/2015",1546,1516,1264,179,4
"11/21/2015",1546,1516,2450,92,5
"11/21/2015",1546,1516,1390,70,6
"11/21/2015",1546,1516,534,8,7
"11/21/2015",1546,1516,847,5,8
"11/21/2015",1546,1516,1676,15,9
"11/21/2015",1546,1516,508,15,10
"11/28/2015",1547,1516,316,5,1
"11/28/2015",1547,1516,817,47,2
"11/28/2015",1547,1516,771,19,3
"11/28/2015",1547,1516,1140,191,4
"11/28/2015",1547,1516,2195,106,5
"11/28/2015",1547,1516,1718,246,6
"11/28/2015",1547,1516,456,12,7
"11/28/2015",1547,1516,855,16,8
"11/28/2015",1547,1516,1533,16,9
"11/28/2015",1547,1516,491,14,10
"12/5/2015",1548,1516,311,6,1
"12/5/2015",1548,1516,1007,91,2
"12/5/2015",1548,1516,879,43,3
"12/5/2015",1548,1516,1183,201,4
"12/5/2015",1548,1516,2505,169,5
"12/5/2015",1548,1516,1721,218,6
"12/5/2015",1548,1516,550,16,7
"12/5/2015",1548,1516,958,16,8
"12/5/2015",1548,1516,1789,17,9
"12/5/2015",1548,1516,565,32,10
"12/12/2015",1549,1516,337,17,1
"12/12/2015",1549,1516,1076,141,2
"12/12/2015",1549,1516,1008,82,3
"12/12/2015",1549,1516,1126,178,4
"12/12/2015",1549,1516,2473,208,5
"12/12/2015",1549,1516,1653,260,6
"12/12/2015",1549,1516,523,18,7
"12/12/2015",1549,1516,990,28,8
"12/12/2015",1549,1516,1731,25,9
"12/12/2015",1549,1516,558,37,10
"12/19/2015",1550,1516,324,24,1
"12/19/2015",1550,1516,1094,179,2
"12/19/2015",1550,1516,1019,110,3
"12/19/2015",1550,1516,1200,209,4
"12/19/2015",1550,1516,2678,276,5
"12/19/2015",1550,1516,1729,343,6
"12/19/2015",1550,1516,563,31,7
"12/19/2015",1550,1516,983,44,8
"12/19/2015",1550,1516,1749,52,9
"12/19/2015",1550,1516,539,37,10
"12/26/2015",1551,1516,370,27,1
"12/26/2015",1551,1516,1035,189,2
"12/26/2015",1551,1516,1064,123,3
"12/26/2015",1551,1516,1119,234,4
"12/26/2015",1551,1516,2490,327,5
"12/26/2015",1551,1516,1787,413,6
"12/26/2015",1551,1516,498,26,7
"12/26/2015",1551,1516,911,57,8
"12/26/2015",1551,1516,1887,77,9
"12/26/2015",1551,1516,526,46,10
"1/2/2016",1552,1516,422,31,1
"1/2/2016",1552,1516,1095,224,2
"1/2/2016",1552,1516,1119,172,3
"1/2/2016",1552,1516,1158,228,4
"1/2/2016",1552,1516,2746,425,5
"1/2/2016",1552,1516,1849,491,6
"1/2/2016",1552,1516,528,52,7
"1/2/2016",1552,1516,1153,79,8
"1/2/2016",1552,1516,2073,87,9
"1/2/2016",1552,1516,644,73,10
"1/9/2016",1601,1516,484,60,1
"1/9/2016",1601,1516,1322,216,2
"1/9/2016",1601,1516,1382,183,3
"1/9/2016",1601,1516,1192,146,4
"1/9/2016",1601,1516,2979,409,5
"1/9/2016",1601,1516,2028,477,6
"1/9/2016",1601,1516,565,49,7
"1/9/2016",1601,1516,1206,98,8
"1/9/2016",1601,1516,2538,104,9
"1/9/2016",1601,1516,679,85,10
"1/16/2016",1602,1516,450,55,1
"1/16/2016",1602,1516,1235,219,2
"1/16/2016",1602,1516,1317,188,3
"1/16/2016",1602,1516,1019,151,4
"1/16/2016",1602,1516,2808,413,5
"1/16/2016",1602,1516,2015,494,6
"1/16/2016",1602,1516,562,56,7
"1/16/2016",1602,1516,1151,144,8
"1/16/2016",1602,1516,4193,112,9
"1/16/2016",1602,1516,688,86,10
"1/23/2016",1603,1516,478,87,1
"1/23/2016",1603,1516,1098,164,2
"1/23/2016",1603,1516,1364,205,3
"1/23/2016",1603,1516,966,122,4
"1/23/2016",1603,1516,2895,493,5
"1/23/2016",1603,1516,1928,453,6
"1/23/2016",1603,1516,536,63,7
"1/23/2016",1603,1516,1260,193,8
"1/23/2016",1603,1516,2734,187,9
"1/23/2016",1603,1516,790,158,10
"1/30/2016",1604,1516,533,90,1
"1/30/2016",1604,1516,1160,179,2
"1/30/2016",1604,1516,1491,209,3
"1/30/2016",1604,1516,1172,135,4
"1/30/2016",1604,1516,2934,443,5
"1/30/2016",1604,1516,1962,479,6
"1/30/2016",1604,1516,615,90,7
"1/30/2016",1604,1516,1429,260,8
"1/30/2016",1604,1516,2919,195,9
"1/30/2016",1604,1516,921,190,10
"2/6/2016",1605,1516,535,120,1
"2/6/2016",1605,1516,1330,177,2
"2/6/2016",1605,1516,1616,191,3
"2/6/2016",1605,1516,1094,121,4
"2/6/2016",1605,1516,3288,580,5
"2/6/2016",1605,1516,2340,482,6
"2/6/2016",1605,1516,664,101,7
"2/6/2016",1605,1516,1531,281,8
"2/6/2016",1605,1516,3205,210,9
"2/6/2016",1605,1516,944,199,10
"2/13/2016",1606,1516,538,95,1
"2/13/2016",1606,1516,1658,194,2
"2/13/2016",1606,1516,1577,183,3
"2/13/2016",1606,1516,1183,128,4
"2/13/2016",1606,1516,3608,529,5
"2/13/2016",1606,1516,2549,462,6
"2/13/2016",1606,1516,714,111,7
"2/13/2016",1606,1516,1579,281,8
"2/13/2016",1606,1516,3826,239,9
"2/13/2016",1606,1516,1029,186,10
"2/20/2016",1607,1516,477,82,1
"2/20/2016",1607,1516,1907,183,2
"2/20/2016",1607,1516,1773,193,3
"2/20/2016",1607,1516,1322,120,4
"2/20/2016",1607,1516,4074,578,5
"2/20/2016",1607,1516,2797,375,6
"2/20/2016",1607,1516,743,117,7
"2/20/2016",1607,1516,1870,316,8
"2/20/2016",1607,1516,3888,258,9
"2/20/2016",1607,1516,1131,213,10
"2/27/2016",1608,1516,602,92,1
"2/27/2016",1608,1516,2026,175,2
"2/27/2016",1608,1516,2552,191,3
"2/27/2016",1608,1516,1237,111,4
"2/27/2016",1608,1516,4601,595,5
"2/27/2016",1608,1516,2950,412,6
"2/27/2016",1608,1516,760,115,7
"2/27/2016",1608,1516,1920,308,8
"2/27/2016",1608,1516,4064,230,9
"2/27/2016",1608,1516,1257,218,10
"3/5/2016",1609,1516,729,103,1
"3/5/2016",1609,1516,2095,141,2
"3/5/2016",1609,1516,2616,196,3
"3/5/2016",1609,1516,1331,85,4
"3/5/2016",1609,1516,4677,536,5
"3/5/2016",1609,1516,3113,368,6
"3/5/2016",1609,1516,706,122,7
"3/5/2016",1609,1516,1986,310,8
"3/5/2016",1609,1516,3801,199,9
"3/5/2016",1609,1516,1271,183,10
"3/12/2016",1610,1516,794,90,1
"3/12/2016",1610,1516,2554,155,2
"3/12/2016",1610,1516,2999,196,3
"3/12/2016",1610,1516,1332,70,4
"3/12/2016",1610,1516,6223,438,5
"3/12/2016",1610,1516,2871,265,6
"3/12/2016",1610,1516,735,118,7
"3/12/2016",1610,1516,2007,241,8
