HHS	DVD	age	rcu	pi	flu	allcause	pop	AH1P	AH3	B	RSV
1	201120	2	1	0	0	5	4839956	0	0	0	0
1	201120	3	73	5	0	157	12772811	0	0	0	0
1	201120	4	161	16	0	290	6188402	0	0	0	0
1	201120	5	1336	172	0	1796	4173374	0	0	0	0
1	201121	1	6	0	0	21	1671496	0	6.66394668842649e-05	0	0
1	201121	2	2	0	0	5	4839177	0	6.66394668842649e-05	0	0
1	201121	3	52	2	0	145	12772152	0	6.66394668842649e-05	0	0
1	201121	4	185	15	0	331	6189223	0	6.66394668842649e-05	0	0
1	201121	5	1279	173	0	1798	4176703	0	6.66394668842649e-05	0	0
1	201122	1	2	0	0	19	1671188	0	0	0	0
1	201122	2	3	1	0	6	4838397	0	0	0	0
1	201122	3	50	3	0	154	12771492	0	0	0	0
1	201122	4	208	21	0	355	6190043	0	0	0	0
1	201122	5	1216	172	0	1673	4180032	0	0	0	0
1	201123	1	4	0	0	22	1670881	0	0	0	0
1	201123	2	3	0	0	8	4837618	0	0	0	0
1	201123	3	55	7	0	156	12770833	0	0	0	0
1	201123	4	210	26	0	368	6190863	0	0	0	0
1	201123	5	1224	150	0	1697	4183361	0	0	0	0
1	201124	1	4	1	0	23	1670574	0	0	0	0
1	201124	2	3	0	0	9	4836839	0	0	0	0
1	201124	3	50	3	0	140	12770173	0	0	0	0
1	201124	4	203	25	1	335	6191683	0	0	0	0
1	201124	5	1312	168	0	1815	4186690	0	0	0	0
1	201125	1	0	0	0	10	1670267	0	0	0	0
1	201125	2	1	1	0	12	4836059	0	0	0	0
1	201125	3	44	3	0	140	12769514	0	0	0	0
1	201125	4	168	17	0	326	6192504	0	0	0	0
1	201125	5	1137	151	0	1618	4190019	0	0	0	0
1	201126	1	3	1	0	15	1669960	0	0	0	0
1	201126	2	1	0	0	3	4835280	0	0	0	0
1	201126	3	37	5	0	129	12768854	0	0	0	0
1	201126	4	189	13	0	340	6193324	0	0	0	0
1	201126	5	1249	179	0	1782	4193348	0	0	0	0
1	201127	1	3	0	0	19	1669653	0	0	0	0
1	201127	2	3	0	0	7	4834501	0	0	0	0
1	201127	3	66	7	0	172	12768195	0	0	0	0
1	201127	4	171	14	0	332	6194144	0	0	0	0
1	201127	5	1231	181	0	1714	4196677	0	0	0	0
1	201128	1	0	0	0	13	1669346	0	0	0	0
1	201128	2	0	0	0	9	4833721	0	0	0	0
1	201128	3	47	6	0	167	12767535	0	0	0	0
1	201128	4	194	25	0	344	6194965	0	0	0	0
1	201128	5	1217	182	0	1755	4200006	0	0	0	0
1	201129	1	1	0	0	18	1669039	0	0	0	0
1	201129	2	3	0	0	9	4832942	0	0	0	0
1	201129	3	69	9	0	163	12766876	0	0	0	0
1	201129	4	166	16	0	317	6195786	0	0	0	0
1	201129	5	1193	159	0	1713	4203334	0	0	0	0
1	201130	1	3	0	0	20	1668731	0	0	0	0
1	201130	2	1	0	0	9	4832163	0	0	0	0
1	201130	3	57	5	0	166	12766217	0	0	0	0
1	201130	4	180	15	1	331	6196607	0	0	0	0
1	201130	5	1171	160	0	1666	4206661	0	0	0	0
1	201131	1	0	0	0	10	1668424	0	0	0	0
1	201131	2	1	0	0	5	4831384	0	0	0	0
1	201131	3	44	1	0	149	12765558	0	0	0	0
1	201131	4	154	14	0	319	6197430	0	0	0	0
1	201131	5	1176	152	0	1671	4209987	0	0	0	0
1	201132	1	5	0	0	27	1668117	0	0	0	0
1	201132	2	3	1	0	8	4830606	0	0	0	0
1	201132	3	59	3	0	165	12764900	0	0	0	0
1	201132	4	192	9	0	328	6198254	0	0	0	0
1	201132	5	1200	134	0	1682	4213312	0	0	0	0
1	201133	1	3	1	0	18	1667810	0	0	0	0
1	201133	2	1	0	0	5	4829827	0	0	0	0
1	201133	3	61	6	0	156	12764242	0	0	0	0
1	201133	4	174	15	0	309	6199079	0	0	0	0
1	201133	5	1144	140	0	1671	4216634	0	0	0	0
1	201134	1	1	0	0	13	1667502	0	0	0	0
1	201134	2	2	0	0	6	4829049	0	0	0	0
1	201134	3	66	9	0	182	12763584	0	0	0	0
1	201134	4	178	20	0	322	6199905	0	0	0	0
1	201134	5	1126	173	0	1615	4219955	0	0	0	0
1	201135	1	4	0	0	22	1667195	0	0	0	0
1	201135	2	2	0	0	9	4828272	0	0	0	0
1	201135	3	39	1	0	142	12762927	0	0	0	0
1	201135	4	162	18	0	317	6200733	0	0	0	0
1	201135	5	1203	147	0	1710	4223273	0	0	0	0
1	201136	1	3	0	0	17	1666887	0	0	0	0
1	201136	2	1	0	0	9	4827495	0	0	0	0
1	201136	3	51	8	0	152	12762271	0	0	0	0
1	201136	4	179	20	0	328	6201563	0	0	0	0
1	201136	5	1176	128	0	1677	4226589	0	0	0	0
1	201137	1	1	0	0	10	1666580	0	0	0	0
1	201137	2	0	0	0	5	4826718	0	0	0	0
1	201137	3	50	6	0	137	12761616	0	0	0	0
1	201137	4	182	17	0	336	6202396	0	0	0	0
1	201137	5	1187	164	0	1666	4229902	0	0	0	0
1	201138	1	5	1	0	17	1666272	0	0	0	0
1	201138	2	2	0	0	4	4825942	0	0	0	0
1	201138	3	55	4	0	170	12760961	0	0	0	0
1	201138	4	195	13	0	361	6203231	0	0	0	0
1	201138	5	1215	140	0	1727	4233211	0	0	0	0
1	201139	1	2	0	0	16	1665964	0	0	0	0
1	201139	2	2	1	0	6	4825167	0	0	0	0
1	201139	3	58	8	0	140	12760307	0	0	0	0
1	201139	4	172	25	0	324	6204068	0	0	0	0
1	201139	5	1157	152	0	1679	4236517	0	0	0	0
1	201140	1	2	0	0	18	1665657	0	0	0	0.000360228230314492
1	201140	2	0	0	0	3	4824392	0	0	0	0.000360228230314492
1	201140	3	59	8	1	165	12759654	0	0	0	0.000360228230314492
1	201140	4	198	17	0	361	6204908	0	0	0	0.000360228230314492
1	201140	5	1217	147	0	1693	4239819	0	0	0	0.000360228230314492
1	201141	1	2	0	0	6	1665349	0	0	0	0.000332762409299423
1	201141	2	1	0	0	2	4823618	0	0	0	0.000332762409299423
1	201141	3	68	9	0	161	12759002	0	0	0	0.000332762409299423
1	201141	4	171	22	0	297	6205752	0	0	0	0.000332762409299423
1	201141	5	1231	164	0	1742	4243117	0	0	0	0.000332762409299423
1	201142	1	4	0	0	19	1665040	0	0	0	0
1	201142	2	3	1	0	8	4822845	0	0	0	0
1	201142	3	61	9	0	155	12758352	0	0	0	0
1	201142	4	165	18	0	316	6206598	0	0	0	0
1	201142	5	1237	156	0	1774	4246411	0	0	0	0
1	201143	1	2	0	0	6	1664732	0	0	0	0
1	201143	2	1	1	0	10	4822072	0	0	0	0
1	201143	3	60	8	0	156	12757702	0	0	0	0
1	201143	4	196	19	0	344	6207449	0	0	0	0
1	201143	5	1301	173	0	1825	4249700	0	0	0	0
1	201144	1	1	0	0	17	1664424	0	0	0	0
1	201144	2	0	0	0	4	4821301	0	0	0	0
1	201144	3	66	8	0	174	12757054	0	0	0	0
1	201144	4	193	19	0	343	6208303	0	0	0	0
1	201144	5	1367	175	0	1980	4252983	0	0	0	0
1	201145	1	1	0	0	13	1664115	0	0	0	0.000202229244667331
1	201145	2	1	0	0	10	4820530	0	0	0	0.000202229244667331
1	201145	3	54	11	0	159	12756407	0	0	0	0.000202229244667331
1	201145	4	196	14	0	334	6209160	0	0	0	0.000202229244667331
1	201145	5	1342	187	0	1915	4256262	0	0	0	0.000202229244667331
1	201146	1	2	0	0	16	1663807	0	0	0	0.000204696609260872
