HHS,YEAR,WEEK,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
6,1999,8,362,11,11067
7,1999,8,316,47,8160
8,1999,8,333,30,13107
9,1999,8,543,27,13577
10,1999,8,86,14,3133
1,1999,9,431,46,8860
2,1999,9,17,5,395
3,1999,9,323,29,6144
4,1999,9,506,66,16220
5,1999,9,1186,83,24395
6,1999,9,274,11,5844
7,1999,9,243,50,7503
8,1999,9,315,31,13219
9,1999,9,556,26,13098
10,1999,9,59,12,1498
1,1999,10,252,45,8766
2,1999,10,17,5,424
3,1999,10,277,29,6277
4,1999,10,460,61,14674
5,1999,10,753,82,25333
6,1999,10,178,10,8268
7,1999,10,179,47,6968
8,1999,10,243,33,12605
9,1999,10,526,27,12638
10,1999,10,37,12,1659
1,1999,11,139,43,7122
2,1999,11,9,4,254
3,1999,11,295,27,5747
4,1999,11,235,56,13295
5,1999,11,590,84,20147
6,1999,11,128,11,8404
7,1999,11,179,45,6151
8,1999,11,153,32,13463
9,1999,11,306,25,10859
10,1999,11,36,12,1621
1,1999,12,128,39,7482
2,1999,12,12,4,247
3,1999,12,195,25,5093
4,1999,12,229,58,13379
5,1999,12,330,74,21295
6,1999,12,84,10,3366
7,1999,12,96,42,6497
8,1999,12,124,31,12714
9,1999,12,462,26,12571
10,1999,12,36,12,1435
1,1999,13,67,41,8174
2,1999,13,6,4,230
3,1999,13,114,25,5056
4,1999,13,120,53,12606
5,1999,13,208,71,19309
6,1999,13,63,13,6310
7,1999,13,86,43,6375
8,1999,13,97,32,12536
9,1999,13,305,21,7343
10,1999,13,25,10,1298
1,1999,14,51,38,8234
2,1999,14,0,3,178
3,1999,14,82,24,4412
4,1999,14,77,51,11811
5,1999,14,116,64,17951
6,1999,14,24,12,9389
7,1999,14,36,37,5549
8,1999,14,37,17,6097
9,1999,14,184,20,6579
10,1999,14,25,11,1388
1,1999,15,26,36,7733
2,1999,15,7,4,242
3,1999,15,74,23,4279
4,1999,15,45,51,12501
5,1999,15,69,61,17899
6,1999,15,10,11,3600
7,1999,15,37,35,5437
8,1999,15,36,17,5801
9,1999,15,75,19,5424
10,1999,15,17,11,1599
1,1999,16,21,34,6141
2,1999,16,0,3,180
3,1999,16,60,24,4701
4,1999,16,44,49,11998
5,1999,16,33,63,17439
6,1999,16,6,10,7146
7,1999,16,31,31,4798
8,1999,16,16,17,5641
9,1999,16,49,17,5337
10,1999,16,11,10,872
1,1999,17,28,30,5784
2,1999,17,0,2,90
3,1999,17,60,25,4810
4,1999,17,29,48,11851
5,1999,17,40,61,17653
6,1999,17,9,12,8495
7,1999,17,34,34,4906
8,1999,17,13,14,3493
9,1999,17,172,19,6731
10,1999,17,14,10,1011
1,1999,18,9,30,5689
2,1999,18,13,2,109
3,1999,18,51,24,4390
4,1999,18,16,45,11102
5,1999,18,20,60,17465
6,1999,18,1,10,8453
7,1999,18,22,28,3897
8,1999,18,14,12,2998
9,1999,18,31,16,4470
10,1999,18,3,10,973
1,1999,19,12,30,5538
2,1999,19,10,3,229
3,1999,19,73,22,4142
4,1999,19,19,44,10699
5,1999,19,15,56,13841
6,1999,19,2,10,8034
7,1999,19,22,26,3898
8,1999,19,9,12,2991
9,1999,19,124,15,5602
10,1999,19,6,9,898
1,1999,20,1,29,5136
2,1999,20,13,2,110
3,1999,20,62,19,3844
4,1999,20,19,44,10115
5,1999,20,26,52,12169
6,1999,20,0,9,8313
7,1999,20,25,31,4189
8,1999,20,4,12,2856
9,1999,20,127,16,5854
10,1999,20,6,8,858
1,1999,21,0,0,0
2,1999,21,0,0,0
3,1999,21,0,0,0
4,1999,21,0,0,0
5,1999,21,0,0,0
6,1999,21,0,0,0
7,1999,21,0,0,0
8,1999,21,0,0,0
9,1999,21,0,0,0
10,1999,21,0,0,0
1,1999,22,0,0,0
2,1999,22,0,0,0
3,1999,22,0,0,0
4,1999,22,0,0,0
5,1999,22,0,0,0
6,1999,22,0,0,0
7,1999,22,0,0,0
8,1999,22,0,0,0
9,1999,22,0,0,0
10,1999,22,0,0,0
1,1999,23,0,0,0
2,1999,23,0,0,0
3,1999,23,0,0,0
4,1999,23,0,0,0
5,1999,23,0,0,0
6,1999,23,0,0,0
7,1999,23,0,0,0
8,1999,23,0,0,0
9,1999,23,0,0,0
10,1999,23,0,0,0
1,1999,24,0,0,0
2,1999,24,0,0,0
3,1999,24,0,0,0
4,1999,24,0,0,0
5,1999,24,0,0,0
6,1999,24,0,0,0
7,1999,24,0,0,0
8,1999,24,0,0,0
9,1999,24,0,0,0
10,1999,24,0,0,0
1,1999,25,0,0,0
2,1999,25,0,0,0
3,1999,25,0,0,0
4,1999,25,0,0,0
5,1999,25,0,0,0
6,1999,25,0,0,0
7,1999,25,0,0,0
8,1999,25,0,0,0
9,1999,25,0,0,0
10,1999,25,0,0,0
1,1999,26,0,0,0
2,1999,26,0,0,0
3,1999,26,0,0,0
4,1999,26,0,0,0
5,1999,26,0,0,0
6,1999,26,0,0,0
7,1999,26,0,0,0
8,1999,26,0,0,0
9,1999,26,0,0,0
10,1999,26,0,0,0
1,1999,27,0,0,0
2,1999,27,0,0,0
3,1999,27,0,0,0
4,1999,27,0,0,0
5,1999,27,0,0,0
6,1999,27,0,0,0
7,1999,27,0,0,0
8,1999,27,0,0,0
9,1999,27,0,0,0
10,1999,27,0,0,0
1,1999,28,0,0,0
2,1999,28,0,0,0
3,1999,28,0,0,0
4,1999,28,0,0,0
5,1999,28,0,0,0
6,1999,28,0,0,0
7,1999,28,0,0,0
8,1999,28,0,0,0
9,1999,28,0,0,0
10,1999,28,0,0,0
1,1999,29,0,0,0
2,1999,29,0,0,0
3,1999,29,0,0,0
4,1999,29,0,0,0
5,1999,29,0,0,0
6,1999,29,0,0,0
7,1999,29,0,0,0
8,1999,29,0,0,0
9,1999,29,0,0,0
10,1999,29,0,0,0
1,1999,30,0,0,0
2,1999,30,0,0,0
3,1999,30,0,0,0
4,1999,30,0,0,0
5,1999,30,0,0,0
6,1999,30,0,0,0
7,1999,30,0,0,0
8,1999,30,0,0,0
9,1999,30,0,0,0
10,1999,30,0,0,0
1,1999,31,0,0,0
2,1999,31,0,0,0
3,1999,31,0,0,0
4,1999,31,0,0,0
5,1999,31,0,0,0
6,1999,31,0,0,0
7,1999,31,0,0,0
8,1999,31,0,0,0
9,1999,31,0,0,0
10,1999,31,0,0,0
1,1999,32,0,0,0
2,1999,32,0,0,0
3,1999,32,0,0,0
4,1999,32,0,0,0
5,1999,32,0,0,0
6,1999,32,0,0,0
7,1999,32,0,0,0
8,1999,32,0,0,0
9,1999,32,0,0,0
10,1999,32,0,0,0
1,1999,33,0,0,0
2,1999,33,0,0,0
3,1999,33,0,0,0
4,1999,33,0,0,0
5,1999,33,0,0,0
6,1999,33,0,0,0
7,1999,33,0,0,0
8,1999,33,0,0,0
9,1999,33,0,0,0
10,1999,33,0,0,0
1,1999,34,0,0,0
2,1999,34,0,0,0
3,1999,34,0,0,0
4,1999,34,0,0,0
5,1999,34,0,0,0
6,1999,34,0,0,0
7,1999,34,0,0,0
8,1999,34,0,0,0
9,1999,34,0,0,0
10,1999,34,0,0,0
1,1999,35,0,0,0
2,1999,35,0,0,0
3,1999,35,0,0,0
4,1999,35,0,0,0
5,1999,35,0,0,0
6,1999,35,0,0,0
7,1999,35,0,0,0
8,1999,35,0,0,0
9,1999,35,0,0,0
